transaction_id,customer_id,transaction_date,product_category,product_name,quantity,unit_price,customer_type,total_amount
61,14,2025-05-07,Beauty,Product Beaut,2,65.05,occasional,130.1
62,14,2025-05-08,Sports,Response Sport,1,243.6,occasional,243.6
63,14,2025-05-18,Sports,Attack Sport,3,375.18,occasional,1125.54
64,15,2024-06-07,Clothing,Pick Clothin,1,157.33,occasional,157.33
65,15,2025-06-06,Clothing,Newspaper Clothin,2,72.17,occasional,144.34
66,15,2024-03-19,Electronics,On Electronic,3,223.35,occasional,670.05
67,16,2025-04-27,Electronics,Activity Electronic,2,115.35,occasional,230.7
68,16,2025-03-03,Books,Building Book,3,10.13,occasional,30.39
69,16,2025-03-04,Home & Garden,Not Home & Garde,2,39.2,occasional,78.4
70,17,2025-03-13,Clothing,Specific Clothin,3,157.28,occasional,471.84
71,18,2024-09-19,Books,Brother Book,3,23.97,regular,71.91
72,18,2024-01-10,Electronics,Coach Electronic,2,82.9,regular,165.8
73,18,2024-05-06,Clothing,Seven Clothin,1,125.21,regular,125.21
74,19,2025-05-27,Beauty,Everyone Beaut,2,90.28,regular,180.56
75,19,2025-06-06,Books,Sound Book,3,38.15,regular,114.45
76,19,2025-03-17,Beauty,While Beaut,1,54.88,regular,54.88
77,20,2024-07-14,Books,Process Book,3,24.52,regular,73.56
78,20,2024-09-23,Clothing,Purpose Clothin,3,94.24,regular,282.72
79,20,2024-12-09,Books,Decide Book,3,48.62,regular,145.86
80,20,2024-07-31,Sports,Sound Sport,2,59.78,regular,119.56
81,20,2024-08-03,Clothing,Start Clothin,2,123.19,regular,246.38
82,21,2025-04-17,Beauty,Why Beaut,1,10.08,regular,10.08
83,21,2023-08-07,Electronics,Game Electronic,3,566.93,regular,1700.79
84,21,2024-06-30,Sports,Brother Sport,2,334.76,regular,669.52
85,22,2025-05-24,Electronics,Unit Electronic,1,673.95,regular,673.95
86,22,2025-06-05,Clothing,Surface Clothin,2,170.11,regular,340.22
87,22,2025-01-13,Sports,Article Sport,1,356.94,regular,356.94
88,22,2024-12-30,Beauty,Our Beaut,1,59.25,regular,59.25
89,23,2025-05-15,Clothing,Bed Clothin,3,103.64,occasional,310.92
90,23,2025-02-06,Home & Garden,Team Home & Garde,3,31.38,occasional,94.14
91,24,2023-07-31,Books,Soon Book,1,15.39,regular,15.39
92,24,2024-07-03,Electronics,Car Electronic,1,316.52,regular,316.52
93,24,2023-09-12,Clothing,May Clothin,3,143.73,regular,431.19
94,25,2025-05-20,Beauty,Company Beaut,1,74.5,frequent,74.5
95,25,2024-09-16,Home & Garden,Turn Home & Garde,1,116.8,frequent,116.8
96,25,2025-01-17,Beauty,Development Beaut,2,39.24,frequent,78.48
97,25,2025-05-14,Sports,Someone Sport,3,98.88,frequent,296.64
98,25,2025-03-03,Beauty,Deep Beaut,1,16.04,frequent,16.04
99,25,2025-02-25,Clothing,Inside Clothin,1,82.34,frequent,82.34
100,25,2025-06-07,Books,Rate Book,2,31.11,frequent,62.22
101,25,2024-10-25,Electronics,We Electronic,2,765.09,frequent,1530.18
102,25,2024-12-16,Beauty,Camera Beaut,1,46.02,frequent,46.02
103,25,2024-09-10,Books,Attack Book,2,10.04,frequent,20.08
104,25,2024-10-13,Beauty,Per Beaut,2,36.72,frequent,73.44
105,26,2024-10-04,Home & Garden,Per Home & Garde,3,195.65,regular,586.95
106,26,2024-04-02,Books,Avoid Book,2,45.2,regular,90.4
107,26,2024-12-28,Sports,Artist Sport,2,166.4,regular,332.8
108,26,2024-04-07,Books,Western Book,3,12.47,regular,37.41
109,26,2023-12-19,Home & Garden,Give Home & Garde,1,282.76,regular,282.76
110,27,2024-04-26,Books,Economy Book,2,29.09,regular,58.18
111,27,2024-07-26,Sports,Mention Sport,3,33.26,regular,99.78
112,27,2024-06-28,Sports,Cause Sport,2,383.81,regular,767.62
113,27,2025-02-07,Electronics,Us Electronic,1,676.81,regular,676.81
114,28,2024-12-18,Home & Garden,Material Home & Garde,1,60.15,occasional,60.15
115,29,2025-05-06,Sports,Material Sport,3,80.51,regular,241.53
116,29,2025-05-31,Beauty,Customer Beaut,1,14.03,regular,14.03
117,29,2025-04-30,Clothing,Reason Clothin,3,99.38,regular,298.14
118,30,2025-02-18,Beauty,Land Beaut,3,97.25,frequent,291.75
119,30,2025-02-14,Clothing,Treat Clothin,2,33.5,frequent,67.0
120,30,2025-04-17,Sports,Report Sport,1,198.61,frequent,198.61
121,30,2025-04-02,Electronics,Race Electronic,1,689.04,frequent,689.04
122,30,2024-12-16,Books,Interesting Book,3,36.36,frequent,109.08
123,30,2025-04-17,Sports,Such Sport,3,386.11,frequent,1158.33
124,30,2025-05-13,Beauty,Energy Beaut,1,26.78,frequent,26.78
125,30,2025-01-03,Electronics,Not Electronic,2,417.51,frequent,835.02
126,30,2025-02-22,Home & Garden,Knowledge Home & Garde,1,128.53,frequent,128.53
127,30,2025-01-01,Beauty,Maintain Beaut,1,65.26,frequent,65.26
128,30,2025-01-14,Books,Wind Book,3,24.98,frequent,74.94
129,31,2024-08-03,Home & Garden,System Home & Garde,1,75.37,occasional,75.37
130,32,2025-05-05,Sports,Oil Sport,3,159.12,occasional,477.36
131,32,2024-10-27,Clothing,Reach Clothin,1,29.88,occasional,29.88
132,32,2025-06-08,Electronics,Think Electronic,3,955.37,occasional,2866.11
133,33,2025-01-25,Beauty,Better Beaut,2,37.86,frequent,75.72
134,33,2025-05-29,Books,Time Book,1,26.91,frequent,26.91
135,33,2025-02-24,Electronics,Investment Electronic,1,522.88,frequent,522.88
136,33,2025-03-30,Clothing,Different Clothin,1,196.8,frequent,196.8
137,33,2025-05-21,Clothing,Weight Clothin,3,74.34,frequent,223.02
138,33,2025-01-31,Electronics,Hundred Electronic,1,77.33,frequent,77.33
139,33,2025-01-23,Clothing,In Clothin,1,189.76,frequent,189.76
140,33,2025-02-28,Home & Garden,Step Home & Garde,1,233.57,frequent,233.57
141,33,2025-05-10,Clothing,Feeling Clothin,3,166.05,frequent,498.15
142,34,2025-02-22,Electronics,Side Electronic,3,756.19,frequent,2268.57
143,34,2025-06-08,Beauty,Only Beaut,2,66.62,frequent,133.24
144,34,2025-04-07,Beauty,Message Beaut,1,89.39,frequent,89.39
145,34,2025-01-03,Electronics,Fine Electronic,3,336.76,frequent,1010.28
146,34,2025-01-15,Clothing,Article Clothin,3,31.71,frequent,95.13
147,34,2025-03-23,Beauty,Occur Beaut,3,61.18,frequent,183.54
148,34,2024-12-17,Clothing,Former Clothin,1,155.31,frequent,155.31
149,34,2024-12-16,Books,Pattern Book,1,42.95,frequent,42.95
150,34,2025-03-04,Clothing,Wide Clothin,3,186.2,frequent,558.6
151,34,2025-05-12,Books,Coach Book,2,16.82,frequent,33.64
152,34,2024-12-16,Beauty,Movie Beaut,1,41.47,frequent,41.47
153,34,2024-12-20,Home & Garden,Cultural Home & Garde,1,105.25,frequent,105.25
154,34,2024-12-18,Clothing,Author Clothin,2,61.94,frequent,123.88
155,35,2025-01-06,Sports,Easy Sport,2,377.72,regular,755.44
156,35,2024-08-30,Books,Year Book,2,44.32,regular,88.64
157,35,2025-04-17,Sports,Employee Sport,1,36.58,regular,36.58
158,35,2024-11-21,Books,Among Book,1,37.21,regular,37.21
159,36,2025-02-20,Clothing,Kind Clothin,3,180.85,regular,542.55
160,36,2025-03-03,Electronics,Other Electronic,2,741.02,regular,1482.04
161,36,2025-01-24,Clothing,Worry Clothin,3,57.85,regular,173.55
162,37,2024-10-19,Electronics,Relationship Electronic,1,818.74,regular,818.74
163,37,2025-03-11,Clothing,Edge Clothin,2,130.75,regular,261.5
164,37,2024-10-20,Electronics,Catch Electronic,1,983.13,regular,983.13
165,37,2025-02-25,Beauty,First Beaut,3,24.55,regular,73.65
166,37,2024-12-20,Home & Garden,Woman Home & Garde,3,37.15,regular,111.45
167,38,2025-05-31,Clothing,Baby Clothin,3,93.54,regular,280.62
168,38,2025-05-05,Home & Garden,Pretty Home & Garde,1,259.41,regular,259.41
169,38,2025-06-08,Beauty,Black Beaut,3,63.86,regular,191.58
170,38,2025-05-07,Electronics,Different Electronic,3,799.76,regular,2399.28
171,38,2025-05-22,Electronics,Cause Electronic,2,302.39,regular,604.78
172,38,2025-06-06,Books,Upon Book,1,16.45,regular,16.45
173,39,2023-12-02,Electronics,Election Electronic,3,165.2,frequent,495.6
174,39,2024-05-29,Electronics,Coach Electronic,2,913.18,frequent,1826.36
175,39,2024-07-09,Books,Of Book,1,43.69,frequent,43.69
176,39,2024-12-14,Books,Population Book,1,46.36,frequent,46.36
177,39,2025-05-30,Home & Garden,Surface Home & Garde,1,98.17,frequent,98.17
178,39,2024-11-15,Beauty,Across Beaut,3,10.64,frequent,31.92
179,39,2024-11-23,Home & Garden,Once Home & Garde,2,118.99,frequent,237.98
180,39,2024-04-18,Sports,Record Sport,1,281.75,frequent,281.75
181,39,2023-12-23,Home & Garden,Unit Home & Garde,3,15.95,frequent,47.85
182,39,2024-01-10,Electronics,Business Electronic,3,947.66,frequent,2842.98
183,39,2025-04-04,Clothing,Situation Clothin,3,100.48,frequent,301.44
184,39,2024-09-16,Sports,Expert Sport,2,322.61,frequent,645.22
185,39,2024-04-07,Clothing,Develop Clothin,2,99.2,frequent,198.4
186,39,2024-12-22,Clothing,Democrat Clothin,1,184.81,frequent,184.81
187,40,2025-04-11,Home & Garden,Tonight Home & Garde,2,211.3,regular,422.6
188,40,2025-01-22,Books,Middle Book,1,10.75,regular,10.75
189,40,2025-01-19,Clothing,Whatever Clothin,2,150.92,regular,301.84
190,40,2025-05-11,Books,Best Book,1,33.31,regular,33.31
191,40,2025-04-01,Beauty,Themselves Beaut,2,24.36,regular,48.72
192,41,2025-04-12,Clothing,About Clothin,3,194.96,occasional,584.88
193,41,2025-04-17,Sports,Case Sport,2,231.03,occasional,462.06
194,41,2025-05-11,Clothing,Everybody Clothin,3,80.2,occasional,240.6
195,42,2024-08-01,Home & Garden,Letter Home & Garde,3,267.42,regular,802.26
196,42,2024-12-24,Sports,Late Sport,2,72.3,regular,144.6
197,42,2024-12-28,Home & Garden,Brother Home & Garde,1,233.21,regular,233.21
198,42,2024-06-30,Books,Use Book,1,28.19,regular,28.19
199,43,2024-11-19,Beauty,Church Beaut,1,44.96,frequent,44.96
200,43,2024-08-17,Beauty,They Beaut,2,94.57,frequent,189.14
201,43,2024-04-24,Books,Old Book,3,42.11,frequent,126.33
202,43,2023-12-02,Books,Care Book,2,30.54,frequent,61.08
203,43,2023-09-24,Clothing,His Clothin,1,111.23,frequent,111.23
204,43,2025-04-04,Beauty,Style Beaut,2,36.46,frequent,72.92
205,43,2025-05-21,Beauty,Among Beaut,2,34.94,frequent,69.88
206,43,2025-04-04,Books,Develop Book,1,36.92,frequent,36.92
207,44,2025-02-05,Books,Reflect Book,2,36.45,frequent,72.9
208,44,2024-06-26,Electronics,State Electronic,1,250.0,frequent,250.0
209,44,2024-12-20,Electronics,Two Electronic,3,851.99,frequent,2555.97
210,44,2024-10-22,Clothing,Pressure Clothin,2,45.73,frequent,91.46
211,44,2025-03-04,Home & Garden,Wish Home & Garde,3,178.73,frequent,536.19
212,44,2025-05-12,Home & Garden,Treatment Home & Garde,1,208.2,frequent,208.2
213,44,2024-07-19,Beauty,Such Beaut,2,86.72,frequent,173.44
214,44,2025-03-27,Sports,Upon Sport,3,326.64,frequent,979.92
215,44,2024-10-24,Clothing,Country Clothin,3,109.18,frequent,327.54
216,44,2025-02-27,Books,Go Book,3,21.7,frequent,65.1
217,44,2025-03-16,Sports,Its Sport,3,261.94,frequent,785.82
218,44,2025-03-24,Clothing,Treat Clothin,1,158.07,frequent,158.07
219,45,2025-05-12,Home & Garden,Energy Home & Garde,1,275.06,frequent,275.06
220,45,2025-03-24,Electronics,Store Electronic,2,951.17,frequent,1902.34
221,45,2025-05-08,Beauty,Idea Beaut,2,39.05,frequent,78.1
222,45,2025-05-26,Sports,Town Sport,3,79.61,frequent,238.83
223,45,2025-04-14,Clothing,Decision Clothin,1,166.79,frequent,166.79
224,45,2025-05-20,Home & Garden,Magazine Home & Garde,1,269.4,frequent,269.4
225,45,2025-04-02,Books,Tend Book,3,42.32,frequent,126.96
226,45,2025-05-18,Clothing,Drive Clothin,1,68.63,frequent,68.63
227,45,2025-03-20,Clothing,Receive Clothin,1,97.01,frequent,97.01
228,46,2024-05-12,Clothing,Get Clothin,1,42.5,regular,42.5
229,46,2024-06-23,Electronics,Available Electronic,1,804.59,regular,804.59
230,46,2025-05-23,Clothing,Family Clothin,1,25.21,regular,25.21
231,46,2024-07-28,Books,Mr Book,3,24.11,regular,72.33
232,46,2024-08-21,Sports,Threat Sport,3,169.33,regular,507.99
233,46,2024-10-26,Books,Wrong Book,3,24.93,regular,74.79
234,47,2023-10-23,Sports,Understand Sport,3,47.58,regular,142.74
235,47,2025-05-21,Sports,Could Sport,3,33.2,regular,99.6
236,47,2024-09-25,Home & Garden,Evidence Home & Garde,2,129.66,regular,259.32
237,47,2023-10-30,Electronics,Pick Electronic,3,825.27,regular,2475.81
238,47,2024-06-28,Home & Garden,Shoulder Home & Garde,2,206.41,regular,412.82
239,47,2025-01-29,Beauty,Least Beaut,2,35.13,regular,70.26
240,47,2024-10-11,Clothing,Much Clothin,3,168.93,regular,506.79
241,48,2024-06-17,Electronics,We Electronic,1,984.64,regular,984.64
242,48,2024-12-20,Electronics,Environmental Electronic,3,68.07,regular,204.21
243,48,2024-05-19,Home & Garden,Least Home & Garde,3,250.1,regular,750.3
244,49,2024-01-26,Home & Garden,Wish Home & Garde,3,71.11,regular,213.33
245,49,2025-03-04,Clothing,Right Clothin,1,81.36,regular,81.36
246,49,2025-01-19,Electronics,Site Electronic,1,137.93,regular,137.93
247,49,2025-01-28,Books,Debate Book,2,33.41,regular,66.82
248,49,2024-07-26,Electronics,Available Electronic,2,761.74,regular,1523.48
249,49,2025-05-14,Books,Wife Book,2,44.75,regular,89.5
250,50,2025-03-12,Electronics,Former Electronic,1,189.51,regular,189.51
251,50,2025-04-25,Home & Garden,Capital Home & Garde,3,16.97,regular,50.91
252,50,2025-05-03,Electronics,First Electronic,2,885.43,regular,1770.86
253,50,2025-04-04,Clothing,Reflect Clothin,2,175.67,regular,351.34
254,50,2025-03-22,Electronics,Interesting Electronic,1,701.68,regular,701.68
255,50,2025-04-30,Sports,Once Sport,2,71.92,regular,143.84
256,51,2024-02-14,Clothing,Kitchen Clothin,3,94.21,occasional,282.63
257,51,2024-12-06,Beauty,Hundred Beaut,3,39.25,occasional,117.75
258,51,2024-12-13,Home & Garden,Weight Home & Garde,1,78.55,occasional,78.55
259,52,2024-11-30,Sports,Outside Sport,3,150.05,regular,450.15
260,52,2024-12-29,Sports,Official Sport,3,224.75,regular,674.25
261,52,2025-05-01,Clothing,Fly Clothin,2,186.2,regular,372.4
262,52,2024-12-26,Sports,Law Sport,1,346.17,regular,346.17
263,53,2025-02-03,Clothing,Policy Clothin,2,149.84,frequent,299.68
264,53,2024-11-18,Electronics,Make Electronic,3,799.6,frequent,2398.8
265,53,2024-07-16,Electronics,Republican Electronic,3,494.35,frequent,1483.05
266,53,2024-03-05,Beauty,Material Beaut,1,23.74,frequent,23.74
267,53,2025-02-08,Home & Garden,Style Home & Garde,3,284.57,frequent,853.71
268,53,2025-01-05,Books,Reason Book,1,26.83,frequent,26.83
269,53,2023-12-20,Books,Myself Book,1,25.01,frequent,25.01
270,53,2024-11-24,Sports,President Sport,1,154.04,frequent,154.04
271,53,2024-05-15,Books,Tell Book,2,48.31,frequent,96.62
272,54,2025-05-28,Clothing,Easy Clothin,2,154.66,regular,309.32
273,54,2025-03-25,Books,Down Book,3,44.21,regular,132.63
274,54,2025-04-25,Home & Garden,Choice Home & Garde,2,26.46,regular,52.92
275,54,2024-10-25,Beauty,Election Beaut,2,63.49,regular,126.98
276,54,2025-06-05,Home & Garden,Popular Home & Garde,3,232.88,regular,698.64
277,54,2025-05-05,Beauty,Baby Beaut,1,99.92,regular,99.92
278,55,2024-09-03,Clothing,Various Clothin,2,158.06,regular,316.12
279,55,2024-12-01,Books,Day Book,2,40.32,regular,80.64
280,55,2025-01-16,Beauty,If Beaut,3,35.43,regular,106.29
281,55,2024-09-23,Home & Garden,Either Home & Garde,1,261.02,regular,261.02
282,55,2024-03-30,Home & Garden,Rise Home & Garde,2,233.69,regular,467.38
283,55,2024-01-17,Books,Social Book,2,45.71,regular,91.42
284,56,2025-04-01,Clothing,Value Clothin,2,91.17,regular,182.34
285,56,2024-03-29,Beauty,Large Beaut,2,88.96,regular,177.92
286,56,2024-05-23,Clothing,Summer Clothin,3,143.4,regular,430.2
287,56,2025-05-19,Beauty,National Beaut,2,47.56,regular,95.12
288,56,2024-09-20,Clothing,Onto Clothin,1,66.23,regular,66.23
289,57,2025-05-13,Home & Garden,Thus Home & Garde,2,101.81,regular,203.62
290,57,2025-05-09,Books,Cell Book,2,17.34,regular,34.68
291,57,2025-06-02,Sports,Region Sport,1,63.4,regular,63.4
292,57,2025-05-23,Beauty,Operation Beaut,1,65.18,regular,65.18
293,57,2025-05-25,Books,Someone Book,3,23.98,regular,71.94
294,57,2025-06-05,Clothing,Position Clothin,1,76.1,regular,76.1
295,57,2025-06-02,Books,Wait Book,2,31.34,regular,62.68
296,58,2025-03-16,Sports,Then Sport,3,216.55,occasional,649.65
297,58,2025-05-24,Electronics,Like Electronic,3,472.23,occasional,1416.69
298,59,2025-05-21,Clothing,Six Clothin,1,138.94,frequent,138.94
299,59,2025-05-15,Home & Garden,Listen Home & Garde,1,164.93,frequent,164.93
300,59,2025-01-28,Electronics,End Electronic,1,900.24,frequent,900.24
301,59,2025-05-11,Sports,Factor Sport,3,155.46,frequent,466.38
302,59,2025-04-28,Beauty,Near Beaut,3,41.52,frequent,124.56
303,59,2025-03-09,Clothing,Edge Clothin,2,41.15,frequent,82.3
304,59,2025-01-30,Books,Bank Book,1,10.85,frequent,10.85
305,59,2025-04-19,Books,Easy Book,2,29.87,frequent,59.74
306,59,2025-01-30,Home & Garden,Front Home & Garde,3,184.85,frequent,554.55
307,59,2025-05-20,Clothing,Be Clothin,1,44.04,frequent,44.04
308,60,2024-04-29,Sports,During Sport,2,92.07,frequent,184.14
309,60,2024-08-22,Sports,Claim Sport,3,309.59,frequent,928.77
310,60,2025-01-21,Books,Attack Book,1,17.92,frequent,17.92
311,60,2024-09-06,Beauty,Give Beaut,2,19.92,frequent,39.84
312,60,2024-11-05,Beauty,Just Beaut,2,81.56,frequent,163.12
313,60,2024-03-24,Clothing,There Clothin,3,127.1,frequent,381.3
314,60,2024-09-08,Home & Garden,West Home & Garde,2,97.15,frequent,194.3
315,60,2025-02-20,Electronics,Young Electronic,1,815.31,frequent,815.31
316,60,2025-01-16,Sports,Tough Sport,1,370.54,frequent,370.54
317,60,2025-04-13,Books,Parent Book,2,15.56,frequent,31.12
318,60,2024-08-21,Clothing,According Clothin,3,35.01,frequent,105.03
319,60,2025-05-13,Clothing,Fire Clothin,3,60.45,frequent,181.35
320,61,2025-02-01,Sports,Tonight Sport,2,45.47,occasional,90.94
321,61,2025-04-13,Electronics,Thing Electronic,1,786.66,occasional,786.66
322,62,2024-10-13,Sports,Small Sport,3,392.13,regular,1176.39
323,62,2025-02-19,Home & Garden,Such Home & Garde,1,31.58,regular,31.58
324,62,2024-12-27,Electronics,Discussion Electronic,1,980.47,regular,980.47
325,62,2024-11-10,Books,Explain Book,2,13.23,regular,26.46
326,62,2024-10-20,Clothing,Air Clothin,3,36.26,regular,108.78
327,62,2024-09-30,Books,Relate Book,1,36.17,regular,36.17
328,62,2025-01-28,Clothing,Interview Clothin,1,95.04,regular,95.04
329,63,2025-04-01,Beauty,Though Beaut,3,66.95,frequent,200.85
330,63,2025-01-27,Sports,Care Sport,1,62.77,frequent,62.77
331,63,2025-06-04,Home & Garden,None Home & Garde,3,51.17,frequent,153.51
332,63,2024-10-10,Sports,Indeed Sport,2,44.64,frequent,89.28
333,63,2025-02-27,Beauty,Recognize Beaut,1,53.99,frequent,53.99
334,63,2024-10-10,Books,Question Book,1,27.91,frequent,27.91
335,63,2025-01-18,Home & Garden,Trial Home & Garde,3,294.18,frequent,882.54
336,63,2025-01-26,Sports,Apply Sport,2,335.93,frequent,671.86
337,63,2024-12-07,Home & Garden,Generation Home & Garde,2,209.46,frequent,418.92
338,64,2024-07-27,Home & Garden,General Home & Garde,2,275.5,frequent,551.0
339,64,2024-09-16,Home & Garden,Until Home & Garde,2,38.32,frequent,76.64
340,64,2024-10-03,Clothing,Soldier Clothin,2,99.94,frequent,199.88
341,64,2025-05-20,Books,Know Book,3,14.29,frequent,42.87
342,64,2024-08-13,Electronics,Beat Electronic,1,878.13,frequent,878.13
343,64,2024-11-08,Electronics,So Electronic,1,74.8,frequent,74.8
344,64,2024-12-06,Sports,Hard Sport,2,293.4,frequent,586.8
345,64,2024-08-01,Clothing,Authority Clothin,3,149.09,frequent,447.27
346,64,2025-03-13,Beauty,Reach Beaut,3,53.19,frequent,159.57
347,64,2024-05-20,Beauty,Allow Beaut,3,56.88,frequent,170.64
348,64,2025-05-19,Home & Garden,Decision Home & Garde,3,185.46,frequent,556.38
349,64,2025-04-05,Home & Garden,Pretty Home & Garde,2,235.84,frequent,471.68
350,64,2024-07-04,Beauty,Card Beaut,3,21.75,frequent,65.25
351,64,2024-11-09,Electronics,Building Electronic,3,856.08,frequent,2568.24
352,65,2025-06-07,Sports,Discover Sport,2,255.14,regular,510.28
353,65,2025-06-07,Clothing,Establish Clothin,3,149.63,regular,448.89
354,65,2025-06-08,Clothing,Computer Clothin,1,165.22,regular,165.22
355,65,2025-06-07,Electronics,Small Electronic,1,543.17,regular,543.17
356,65,2025-06-08,Sports,Star Sport,3,184.65,regular,553.95
357,65,2025-06-08,Clothing,Foreign Clothin,3,80.8,regular,242.4
358,65,2025-06-06,Beauty,Agree Beaut,3,65.75,regular,197.25
359,66,2025-05-05,Beauty,Parent Beaut,3,10.81,frequent,32.43
360,66,2025-01-03,Sports,How Sport,3,372.9,frequent,1118.7
361,66,2024-08-20,Electronics,Senior Electronic,3,979.41,frequent,2938.23
362,66,2024-05-16,Clothing,Person Clothin,1,26.57,frequent,26.57
363,66,2025-01-09,Sports,Product Sport,1,380.68,frequent,380.68
364,66,2024-06-06,Sports,Same Sport,1,247.69,frequent,247.69
365,66,2025-02-18,Sports,To Sport,3,56.26,frequent,168.78
366,66,2025-01-06,Home & Garden,Support Home & Garde,2,77.72,frequent,155.44
367,66,2024-04-08,Clothing,Others Clothin,2,170.92,frequent,341.84
368,66,2025-02-23,Electronics,Hand Electronic,3,854.14,frequent,2562.42
369,66,2024-10-25,Clothing,Recently Clothin,2,99.36,frequent,198.72
370,66,2024-08-07,Beauty,Move Beaut,3,70.89,frequent,212.67
371,67,2025-06-06,Clothing,Actually Clothin,2,20.33,frequent,40.66
372,67,2025-06-08,Sports,Test Sport,1,27.83,frequent,27.83
373,67,2025-06-05,Home & Garden,Lead Home & Garde,3,17.9,frequent,53.7
374,67,2025-06-08,Electronics,Prove Electronic,1,351.26,frequent,351.26
375,67,2025-06-08,Home & Garden,Machine Home & Garde,3,253.63,frequent,760.89
376,67,2025-06-07,Clothing,Learn Clothin,2,58.67,frequent,117.34
377,67,2025-06-04,Beauty,Nearly Beaut,1,23.68,frequent,23.68
